kba |t0| |t1| |t2| |t3| |t4|
9.918455e-01 5.913578e-01 9.166413e-01 3.229229e-01 3.883880e-02 1.706192e-03
9.989270e-01 5.855299e-01 9.192682e-01 3.268372e-01 3.983900e-02 1.777011e-03
1.006009e+00 5.796717e-01 9.218555e-01 3.307624e-01 4.085589e-02 1.850179e-03
1.013090e+00 5.737836e-01 9.244031e-01 3.346983e-01 4.188955e-02 1.925753e-03
1.020172e+00 5.678658e-01 9.269108e-01 3.386445e-01 4.294007e-02 2.003792e-03
1.027253e+00 5.619187e-01 9.293785e-01 3.426008e-01 4.400755e-02 2.084353e-03
1.034335e+00 5.559426e-01 9.318060e-01 3.465670e-01 4.509206e-02 2.167496e-03
1.041416e+00 5.499377e-01 9.341932e-01 3.505427e-01 4.619369e-02 2.253283e-03
1.048498e+00 5.439045e-01 9.365399e-01 3.545276e-01 4.731252e-02 2.341773e-03
1.055579e+00 5.378432e-01 9.388461e-01 3.585217e-01 4.844862e-02 2.433028e-03
1.062661e+00 5.317542e-01 9.411115e-01 3.625244e-01 4.960207e-02 2.527113e-03
1.069742e+00 5.256378e-01 9.433361e-01 3.665357e-01 5.077295e-02 2.624088e-03
1.076824e+00 5.194943e-01 9.455197e-01 3.705551e-01 5.196132e-02 2.724020e-03
1.083906e+00 5.133241e-01 9.476621e-01 3.745825e-01 5.316725e-02 2.826973e-03
1.090987e+00 5.071274e-01 9.497633e-01 3.786176e-01 5.439081e-02 2.933012e-03
1.098069e+00 5.009046e-01 9.518231e-01 3.826601e-01 5.563207e-02 3.042205e-03
1.105150e+00 4.946561e-01 9.538414e-01 3.867098e-01 5.689108e-02 3.154618e-03
1.112232e+00 4.883821e-01 9.558180e-01 3.907663e-01 5.816790e-02 3.270319e-03
1.119313e+00 4.820830e-01 9.577529e-01 3.948295e-01 5.946259e-02 3.389378e-03
1.126395e+00 4.757592e-01 9.596458e-01 3.988989e-01 6.077520e-02 3.511863e-03
1.133476e+00 4.694109e-01 9.614968e-01 4.029745e-01 6.210579e-02 3.637845e-03
1.140558e+00 4.630386e-01 9.633056e-01 4.070558e-01 6.345441e-02 3.767394e-03
1.147639e+00 4.566425e-01 9.650722e-01 4.111427e-01 6.482110e-02 3.900583e-03
1.154721e+00 4.502230e-01 9.667964e-01 4.152349e-01 6.620591e-02 4.037483e-03
1.161803e+00 4.437804e-01 9.684782e-01 4.193320e-01 6.760888e-02 4.178168e-03
1.168884e+00 4.373150e-01 9.701173e-01 4.234339e-01 6.903006e-02 4.322711e-03
1.175966e+00 4.308273e-01 9.717138e-01 4.275402e-01 7.046947e-02 4.471187e-03
1.183047e+00 4.243175e-01 9.732675e-01 4.316507e-01 7.192716e-02 4.623670e-03
