w_norm abs_rho re_rho im_rho abs_S re_S im_S phase_rho_pi phase_S_pi 
0.636086 2.005586e+00 2.004868e+00 5.367723e-02 1.100387e+00 1.099772e+00 3.678354e-02 0.008520 0.010642
0.637087 2.007728e+00 2.007002e+00 5.399145e-02 1.101856e+00 1.101235e+00 3.699887e-02 0.008561 0.010690
0.638088 2.009883e+00 2.009149e+00 5.430823e-02 1.103334e+00 1.102706e+00 3.721595e-02 0.008602 0.010739
0.639089 2.012049e+00 2.011308e+00 5.462761e-02 1.104820e+00 1.104185e+00 3.743481e-02 0.008643 0.010787
0.640090 2.014229e+00 2.013479e+00 5.494960e-02 1.106315e+00 1.105674e+00 3.765546e-02 0.008685 0.010836
0.641091 2.016422e+00 2.015664e+00 5.527424e-02 1.107818e+00 1.107170e+00 3.787793e-02 0.008727 0.010886
0.642092 2.018627e+00 2.017861e+00 5.560156e-02 1.109331e+00 1.108676e+00 3.810223e-02 0.008769 0.010935
0.643093 2.020845e+00 2.020071e+00 5.593159e-02 1.110852e+00 1.110191e+00 3.832839e-02 0.008811 0.010985
0.644094 2.023077e+00 2.022294e+00 5.626435e-02 1.112382e+00 1.111714e+00 3.855643e-02 0.008854 0.011035
0.645095 2.025321e+00 2.024530e+00 5.659988e-02 1.113922e+00 1.113246e+00 3.878636e-02 0.008897 0.011086
0.646096 2.027579e+00 2.026780e+00 5.693822e-02 1.115470e+00 1.114788e+00 3.901821e-02 0.008940 0.011136
0.647097 2.029851e+00 2.029042e+00 5.727938e-02 1.117028e+00 1.116338e+00 3.925200e-02 0.008983 0.011188
0.648098 2.032136e+00 2.031319e+00 5.762341e-02 1.118595e+00 1.117898e+00 3.948776e-02 0.009027 0.011239
0.649099 2.034435e+00 2.033608e+00 5.797034e-02 1.120172e+00 1.119467e+00 3.972549e-02 0.009071 0.011291
0.650100 2.036747e+00 2.035912e+00 5.832019e-02 1.121758e+00 1.121046e+00 3.996524e-02 0.009116 0.011343
0.651101 2.039073e+00 2.038229e+00 5.867301e-02 1.123354e+00 1.122634e+00 4.020702e-02 0.009160 0.011395
